,clim_gamma,clim_c1,clim_c2,clim_c3,clim_kappa1,clim_kappa2,clim_kappa3,clim_epsilon,clim_sigma_eta,clim_sigma_xi,clim_F_4xCO2,cc_r0,cc_rU,cc_rT,cc_rA,ari_BC,ari_OC,ari_Sulfur,ari_NOx,ari_VOC,ari_NH3,ari_CH4,ari_N2O,ari_Equivalent effective stratospheric chlorine,aci_shape_so2,aci_shape_bc,aci_shape_oc,aci_beta,o3_CH4,o3_N2O,o3_Equivalent effective stratospheric chlorine,o3_CO,o3_VOC,o3_NOx,fscale_CH4,fscale_N2O,fscale_minorGHG,fscale_Stratospheric water vapour,fscale_Land use,fscale_Volcanic,fscale_solar_amplitude,fscale_solar_trend,fscale_Light absorbing particles on snow and ice,fscale_CO2,cc_co2_concentration_1750,seed
4004,24.619032827351703,2.4873242887358398,25.510783865843155,42.1141191270633,2.283986606746333,4.7767718547894376,1.1494394170617168,1.2851305796369938,2.488493251729233,0.3742861591279092,9.145617879632416,33.33878721372934,0.0004287795887406,3.3959260354003558,0.0017061284405622,0.0372645005485261,-0.0034625832151902,-0.0028842636313441,-4.778242838362071e-05,-7.293178168076808e-07,-0.000655050402267,-2.34255898577255e-06,-3.279051976211602e-05,-9.120670205333807e-06,0.0105090459136693,5220.532989052684,9.882059787241512e-12,-0.1803055490218987,0.0002383244719021,0.0015398370667824,-8.326211484107292e-05,1.1970179481927685e-05,0.000105054602547,0.0009489585045315,0.9660172444094164,1.0284269582710095,1.0425471716782109,0.4328915416639894,1.1230219068424103,0.9458315629479176,0.7308299507884648,-0.0101480764758697,0.0120376953831193,1.0795948079257711,276.754966510716,2953359
4859,5.826613910708472,3.7407334170534536,6.143151129462318,86.5976895388099,1.3963307421867832,2.379213707364974,0.5982809458005653,0.9728840169718176,0.3915682443737875,0.3594020950555347,6.7842428883289045,37.133544666197885,-0.0031590452097446,-1.4706554121816635,0.0067276225970383,0.0233568379737529,-0.0078899918242825,-0.0039294276205042,-9.968966366259604e-05,-1.2651677072567396e-05,-0.0005967675053702,-5.119045968051988e-06,-3.973100616400795e-05,-6.563566451905032e-06,0.0302962836674169,2.2617367114724816e-34,1.4135565639725222e-13,-0.4956104525865253,0.0002419460577379,0.0013174870535073,-0.0001895190196792,-5.725144969927064e-05,7.06646603296755e-05,0.0004795093344172,1.125439407893425,0.8944700686459764,1.135472990733968,1.0122625467680415,1.1457574153907748,0.6668033583672356,0.763773562500081,0.0334586461366814,0.8131951794766823,0.9187805077776372,277.06611319655354,3294504
5066,5.449424523822559,2.902837690597476,24.48025965355389,156.0271160504564,1.3373284045945002,1.2155450263956475,0.281939033934056,0.5129711088178122,0.6120768146025563,0.2794586929027817,8.829005296787452,31.75659711793996,0.0003790592152346,4.849234183462306,0.0014764218466605,0.0204458282067081,-0.0058013963361112,-0.0020795952462862,-8.369753708219595e-05,-7.972857129244843e-06,-0.0006579298655973,-1.0417090198197324e-06,-2.88847720333183e-05,-8.996247201780606e-06,0.0308080296514852,0.0795971831495084,4.903909561583445e-15,-0.7183396437405966,0.0001967739366893,0.0015957287342384,6.230851610416316e-05,6.221722409408719e-05,0.0001529044280122,0.0002481464305668,0.8568278400453734,0.9463832815805115,1.233095750962452,1.004349511123374,1.2597690836173756,1.0900406950794803,1.4810261787162242,-0.0214312407943119,0.8586136101998613,1.059845985511725,276.5346562740901,3377097
10022,9.539569568986582,2.271375376822272,11.334117882308998,101.46538314381009,1.6917643608482311,2.1762457880397985,1.0728068128364734,1.0731453468243102,0.8173131399742155,0.3632653934456128,7.264361178821396,31.73425325171205,0.0007687038964007,3.8540782800525366,0.0019719998664238,0.05184386677509,-0.0044345368483361,-0.0057495098455112,-7.801843808566175e-05,1.02697767272721e-06,-0.0006063985806765,-2.715619721422614e-06,-3.856931175751408e-05,-5.846552908124434e-06,1.2270974080875777e-06,1.4141380808004525e-06,4.075375127558613e-07,-4345.948458929876,0.0001947585875062,0.001613190880457,7.799603847926691e-05,5.527224845855018e-07,3.892431608535716e-05,0.0025732186334361,0.903970994282398,0.9749379872543747,1.0191072835728872,0.1248234925245728,0.5465641007176392,1.0569637645562608,0.6999786879826801,0.0292301116105131,0.9218025572334468,0.9520256006228988,277.4785205246005,5354541
11498,5.98572800802822,3.775163854080105,22.56467252676168,79.20502276738829,1.3061613647778847,2.8552101467114683,0.5461630204478756,0.9363203411003344,0.4162940586495546,0.3344944062567119,7.271907033643568,30.751278206838503,0.0030836373010703,4.826695865858519,0.0004404043162171,0.0252623446686853,-0.0005749953149116,-0.0040819834611151,-9.466710437372404e-05,-3.103137110189622e-05,-0.000595757518457,-1.059737885960928e-06,-4.400344233834276e-05,-9.288888503643548e-06,0.0011031428375623,0.2568457288517191,8.503913251971658e-28,-1.5828448837917868,0.0002580376854281,0.0012484104927995,-2.861965097173787e-05,-3.502165074768126e-05,0.0001827756045994,0.0008242261694356,1.0343338111805709,0.9540815230071388,1.2740739752359724,1.3022600801704904,0.923758611241341,1.008656265336512,0.667326211058004,0.0560791392354813,1.3445395956473938,0.95260385071864,274.3586987888493,5943465
11903,7.596417699008896,5.352511090580412,23.92475788628805,39.749453322708064,1.1401025640718925,5.167888281091868,1.2229739075036996,1.6787103526820908,0.8932770815402835,0.4841412644241892,9.335311390219625,28.373980858872848,0.0058809093588326,0.9568886149881568,0.00157224186962,0.0365611883302706,-0.0048984195089008,-0.0023492480832685,-0.0001046149849034,1.9324261124173435e-05,-0.0005239245264598,-2.958399746129144e-06,-5.677350433702752e-05,-9.801373687487378e-06,0.0061081479278183,33.79563814511609,1.0618052427931924e-11,-1.28125468628747,0.0002325201268507,0.0015035627698517,-9.453922975052129e-05,9.653948292840157e-05,2.6703484776852767e-05,0.0022697692538874,1.186937841596547,1.02290462787972,0.9920639217947111,1.629263128349086,0.9922799319231168,0.8805226025975801,1.2127828535031755,0.0209464030280246,2.5441196106448003,1.0905672416312835,278.230877003928,6105060
16664,5.340350070461557,5.161397989593462,16.869344333757645,139.09602739119208,1.2301660591152024,2.312172892289577,1.6358577142152069,1.338278345427573,1.099044612494,0.5787173396418149,7.932704523704931,30.22677855153376,0.000999747711979,4.1408601505021725,0.0021751788566285,0.0360506479378751,-0.0045232237911361,-0.0046218709875736,-7.264737152184193e-05,1.0826601596502192e-05,-0.0005938702323631,-1.7898458866507902e-06,-3.786590312313603e-05,-8.153323738462295e-06,0.0131977039555281,73.41222386498818,3.875830648002197e-18,-1.0086301482111788,0.0002276460336144,0.0011900597931152,0.0001280891158521,7.424170548288515e-05,0.0004541062690043,0.0011819142734996,1.1090032034971038,0.9925830219116026,0.9552189210616878,0.787696804408785,0.9600913921387528,0.8950280117986289,1.2709971544591103,-0.0107751344283482,1.8819775939859733,0.9998697171910648,281.35556779842307,8004699
16917,4.200149127042474,4.592474466959669,9.047694984317328,205.34357555911916,0.9407711376075572,2.4434550756312987,0.8584746007582658,1.096770270224731,0.6679558880215237,0.6236762686738528,7.078972804345785,30.6134694533903,0.0039910103787235,0.5945876241326414,0.0043876067068703,0.0143476274498203,-0.0049004469485488,-0.0029735790990717,-8.177460599690513e-05,-1.9680712950616676e-05,-0.0006720515746534,-2.861324317167444e-06,-8.304467706265939e-06,-8.12484075711273e-06,0.001997101194576,2.7225428047836226e-18,0.1996185928966389,-3.92236844830442,0.0002980845316893,0.0016694130789732,4.9404524495877736e-05,5.821391595466019e-06,0.0003135359971384,0.0014566014695156,1.2217694218491766,1.0824057683381003,1.1745577536660858,0.2721070832777332,1.1070035295083318,0.736302378357079,1.476241992612748,0.0304264226717116,1.3407927061884302,0.9390291375466048,275.5319758629274,8105646
19456,2.3375046292988664,4.237497508546247,28.852747446940256,93.10706549306062,1.514076456208992,2.880134188780921,1.2512782508086764,1.4695565167177431,0.8678330984770343,0.2456997563645446,6.685766493121752,31.055308012252755,0.0009829590369267,3.3522524328526,0.0026041233883033,0.0254456461148232,-0.0041086155221675,-0.0031134576927727,-0.0001038130479805,-4.047090162142299e-06,-0.0006760801175002,-2.956191416448416e-06,-4.354976025357464e-05,-9.40989912634736e-06,0.0068501830212549,5.777573039060728e-05,7.574246821638432e-18,-0.5566278388546243,0.0001665145842839,0.0013498920226965,-4.327799705426757e-05,5.964489206134856e-06,8.050214523293487e-05,0.0014527754560742,0.894149658135422,0.9833196785165428,1.1496324448132664,0.451030556841588,1.0420179707455357,0.9156509777067948,0.9942385237004056,0.0282948294488243,0.3284862967031834,0.9130530811701916,279.60263037575345,9118707
22235,4.395981253542102,4.802413609765909,9.708383186203749,100.24587432382349,1.2254279836291777,1.6163297348636374,2.52196582808134,1.582622663437694,0.9777129680688136,0.4797764393301787,8.754086460421986,33.442046431411626,0.002712844525228,-0.4451986041431201,0.0043283656667039,0.0314304446919723,-0.0031841375799678,-0.0025774591059755,-8.997583379613479e-05,-5.300549398347683e-05,-0.0006572773885541,-2.8534966298348257e-06,-3.772588447751026e-05,-9.511753234913176e-06,0.0787792225656391,2.852310267476614e-33,0.0936096480317161,-0.5485396641978976,0.000297844098856,0.0013008304839237,-4.9271823329681934e-05,-2.25985387117147e-05,0.0002282273899551,-0.0001816099062471,1.1563762680506702,1.1194025014546152,0.8586450978902992,-0.1897259303356171,0.8656338194923381,0.9314887542857432,1.1902835533998886,0.0011685247080284,1.1301573772271012,1.054465311771863,272.1317505216036,10227528
25621,10.365593144995175,2.438058085223992,39.16346892213858,174.1297569341976,1.7273542198360707,0.7838739336076737,1.1219031663306265,0.2743359844020667,0.9775708890744248,0.2079582893765943,8.874399348049515,32.83989545238132,-0.0016985833290673,4.010165922942377,0.0034348073347504,0.0268428354834257,-0.004930293402762,-0.0047981358056098,-9.571785733478504e-05,-2.7345549423242985e-05,-0.0006192572135471,-3.307640746799038e-06,-6.297834466789922e-06,-7.1408690465847e-06,0.0052682477451509,3.7905916418674494e-16,0.0593953622231653,-1.903252349350138,0.0002320234836218,0.0016721455222655,-4.309750478372887e-05,0.000242152174232,0.0004219233389492,0.0012608026638934,1.1552000191087732,1.1120065917166726,1.0220585928344792,1.194337867437348,1.140761238308271,0.9046862702431416,1.0205128223956874,-0.0293345076017131,1.0999286569376463,1.0627085780497143,279.2238914943972,11578542
27285,8.590625226757581,4.639373673744887,12.484790700688992,76.69475826348703,1.6062455403541722,2.140223933157862,1.1945377860122883,1.227517378523597,1.5412276798142348,0.5189465501399398,7.861498451015009,22.98204818761857,0.0048091070281365,6.870101863016084,-0.0014851629147719,0.0212827743398017,-0.0050180657461875,-0.002901615750322,-9.33633012838801e-05,-5.033513200504456e-05,-0.0006363886716392,-2.308585467275092e-06,-1.6073242644702474e-05,-8.038200800873636e-06,0.0027530220373053,1.612218590193924e-12,0.0074106439667425,-0.2940146627179899,0.0001267799845624,0.0011726573519831,-9.168201041086737e-05,-0.0001523277246149,0.0001985264734594,0.002384635203227,0.8302947303834548,0.9906357134090238,0.9879270413439116,1.064467690002633,0.5613936459857108,0.8282471292994381,0.9424620866800626,0.0037684827767439,1.4451061667649006,0.9946587833759478,283.58964977006883,12242478
28775,11.25319080385159,2.647612024675383,24.18320396350426,75.90418386438238,0.6594599879388483,4.136863386039788,0.4498329614530629,1.547565559708501,1.3431535009187758,0.5396397230087663,6.718321025071607,35.8949873869436,-0.0022541360485659,0.3815435875928821,0.004679229326504,0.033964552432712,-0.0071297543884413,-0.0029016646420839,-8.98164774365817e-05,-9.558781197806522e-06,-0.0006072767551976,-2.496131447313914e-06,-4.678446959828743e-05,-9.983987786595536e-06,3.934048946790048e-07,4.660874913503886e-06,3.779046123206975e-07,-18842.5651237576,0.000211263405161,0.0010209632535154,0.0001139117941207,-1.7518982120117448e-05,-3.080608217512215e-05,0.0024336204920812,0.9627678640881696,0.9042685759110556,0.8945224977640746,0.4615443737909972,1.3679028904096708,0.8219176677339516,1.0255025236521118,-0.039018724390971,1.0890262092920868,0.91481640331853,278.31708222528533,12836988
